Stem,Opt1_Col,Opt1,Opt2_Col,Opt2,Opt3_Col,Opt3,Opt4_Col,Opt4
What does the digit 5 in 534 987 stand for?,(1),500,(2),5000,(3),50 000,(4),500 000
"What is the value of 30 ones, 30 tenths and 30 hundredths?",(1),33.3,(2),30.33,(3),33.03,(4),3330
"In 178.234,which digit is in the hundredths place?",(1),1,(2),2,(3),3,(4),4
"In the numeral 824 031,the value of the digit 4 is",(1),40,(2),400,(3),4000,(4),40 000
Round off 145.105 to the nearest hundredth,(1),140.00,(2),145.10,(3),145.11,(4),150.00
"In 690 045,the value of the digit 9 is ",(1),90,(2),900,(3),9000,(4),90 000
"Which one of the following is equal to 60 thousands, 40 tens and 15 ones?",(1),604 015,(2),600 415,(3),60 415,(4),6415
Which of the following numbers has no remainder when it is divided by 42,(1),5402,(2),5204,(3),4502,(4),4250
How many 1000s are there in 2 100 0002,(1),21,(2),210,(3),2100,(4),21 000
"6 ones, 5 tenths and 9 thousandths is",(1),0.659,(2),6.059,(3),6.509,(4),6.59
Find the value of 90-6+2+5x2_,(1),97,(2),94,(3),52,(4),24
Find the value of 30-2x(2+8) _,(1),280,(2),34,(3),18,(4),10
"In 42.315,what does the digit 3 stand for?",(1),3 ones,(2),3 tenths,(3),3 hundredths,(4),3 thousandths
"5 hundreds, 9 tenths and 3 thousandths is",(1),590.003,(2),500.903,(3),500.390,(4),500.093
Find the value of 72 hundreds and 16 ones_,(1),7216,(2),880,(3),736,(4),88
"Arrange the following numbers from the smallest to the largest 8.001,8.1,8.01,81.01",(1),"81.01,8.1,8.01,8.001",(2),"8.01,8.1,8.001,81.01",(3),"8.001,8.01,8.1,81.01",(4),"8.001,8.1,8.01,81.01"
