Question,Options,Solution,Topic,Level
Find the remainder of 3908 divided by 7.,(1) 2 (2) 3 (3) 5 (4) 6,"The best answer is (2) 3.

Explanation:

When you divide 3908 by 7, you get a quotient of 558 and a remainder of 3. This is because 7*558 = 3906, and 3908 - 3906 = 2, which is the remainder. 

The other options are incorrect because they do not give the correct remainder when 3908 is divided by 7. For example, if the remainder was 2 (option 1), then 7*558 + 2 = 3908, which is not true. Similarly, options 3 and 4 do not give the correct remainder.",Numbers,AO1
Round off 87.948 to 2 decimal places.,(1) 87.90 (2) 87.94 (3) 87.95 (4) 88.00,"The best answer is (3) 87.95.

Explanation: When rounding to two decimal places, we look at the third decimal place. If this number is 5 or above, we round up. If it's 4 or below, we round down. In this case, the third decimal place is 8, which is above 5, so we round up. This means 87.948 becomes 87.95. 

The other options are incorrect because they do not follow this rule. For example, 87.90 and 87.94 are both rounding down too much, and 88.00 is rounding up too much.",Numbers,AO1
What is 26.05 kg in kilograms and grams?,(1) 2kg 605g (2) 26kg 5g (3) 26 kg 50g (4) 26 kg 500g,"The best answer is (3) 26 kg 50g.

Explanation: 

The number before the decimal point represents the kilograms, so we have 26 kg. The number after the decimal point represents the grams. Since 1 kg equals 1000 grams, 0.05 kg equals 50 grams. Therefore, 26.05 kg is equivalent to 26 kg 50g. 

The other options are incorrect because they do not correctly convert the decimal kilograms to grams. For example, option (2) 26kg 5g incorrectly interprets 0.05 kg as 5 grams, and option (4) 26 kg 500g overestimates the conversion by interpreting 0.05 kg as 500 grams. Option (1) 2kg 605g is incorrect because it misinterprets the kilograms and grams entirely.",Measurement,AO1
Find the product of 35 and 208.,(1) 173 (2) 243 (3) 7280 (4) 7820,"The best answer is (3) 7280.

Explanation: 

The product of 35 and 208 is found by multiplying the two numbers together. 

35 * 208 = 7280

Therefore, the correct answer is 7280. 

The other options are incorrect because they are not the product of 35 and 208. For example, 35 * 208 is not equal to 173, 243, or 7820.",Numbers,AO1
Express 1.8% as a decimal.,(1) 0.0018 (2) 0.018 (3) 0.18 (4) 18,"The best answer is (2) 0.018.

Explanation: 

To convert a percentage to a decimal, you divide the percentage by 100. In this case, 1.8 divided by 100 equals 0.018. 

The other options are incorrect because they do not represent the correct conversion from percentage to decimal. For example, (1) 0.0018 would be the decimal equivalent of 0.18%, not 1.8%. (3) 0.18 would be the decimal equivalent of 18%, not 1.8%. And (4) 18 would be the decimal equivalent of 1800%, not 1.8%.",Ratio & Percentage,AO1
Round off 3.836 to the nearest hundredth.,(1) 3.8 (2) 3.83 (3) 3.84 (4) 3.90,"The best answer is (3) 3.84.

Explanation: When rounding to the nearest hundredth, we look at the digit in the thousandths place. If this digit is 5 or more, we round up. If it's less than 5, we round down. In this case, the digit in the thousandths place is 6, which is more than 5. Therefore, we round up the hundredths place (3) to 4. So, 3.836 rounded to the nearest hundredth is 3.84.

The other options are incorrect because they do not accurately represent 3.836 rounded to the nearest hundredth. 3.8 (option 1) and 3.83 (option 2) are rounded down too much, and 3.90 (option 4) is rounded up too much.",Numbers,AO1
Ali and John have 144 stamps altogether.  Ali has 4 more stamps than John.  How many stamps does Ali have?,(1) 68 (2) 70 (3) 74 (4) 76,"The best answer is (2) 70.

Explanation: 

If Ali and John have 144 stamps altogether and Ali has 4 more stamps than John, we can set up the equation as follows: 

Ali's stamps (A) + John's stamps (J) = 144
Since Ali has 4 more stamps than John, we can express Ali's stamps as (J+4). 

So, the equation becomes: 
J + (J+4) = 144
This simplifies to 2J + 4 = 144
Subtract 4 from both sides to get 2J = 140
Finally, divide both sides by 2 to solve for J (John's stamps), J = 70

Since Ali has 4 more stamps than John, Ali has 70 + 4 = 74 stamps. 

So, the correct answer is (3) 74. 

The other options are incorrect because they do not satisfy the conditions given in the problem.",Algebra,AO2
What is 80% of 160?,(1) 32 (2) 72 (3) 128 (4) 12 800,"The best answer is (3) 128.

Explanation: 

To find 80% of 160, you multiply 160 by 0.80 (which is the decimal equivalent of 80%). 

160 * 0.80 = 128

So, 80% of 160 is 128. 

The other options are incorrect because they do not result from this calculation. For example, 160 * 0.80 does not equal 32, 72, or 12 800.",Ratio & Percentage,AO1
"What is five million, nine thousand and sixty in numerals?",(1) 5 009 006 (2) 5 009 060 (3) 5090 006 (4) 5090 060,"The correct answer is (2) 5 009 060.

Explanation: 
The number ""five million, nine thousand and sixty"" is written in numerals as 5 009 060. This is because there are 5 millions (5 000 000), 9 thousands (9 000), and 60 units, which add up to 5 009 060. The other options are incorrect because they do not correctly represent the given number. For example, option (1) has an extra 6 units, and options (3) and (4) do not have the correct number of millions.",Numbers,AO1
Find the product of 87 and 4065.,(1) 3978 (2) 4152 (3) 353 655 (4) 363 555,"The best answer is (3) 353 655.

Explanation: 

The product of two numbers is obtained by multiplying them. So, we multiply 87 by 4065. 

87 * 4065 = 353 655

Therefore, the product of 87 and 4065 is 353 655. The other options (1) 3978, (2) 4152, and (4) 363 555 are incorrect because they are not the product of 87 and 4065.",Numbers,AO1
The height and base of a triangle are 48 cm and 51 cm respectively.  Find its area.,(1) 998 om? (2) 1024 cm? (3) 1224 cm? (4) 2448 cm?,"The best answer is (3) 1224 cm.

Explanation: The area of a triangle is given by the formula 1/2 * base * height. In this case, the base is 51 cm and the height is 48 cm. So, the area is 1/2 * 51 cm * 48 cm = 1224 cm^2. 

The other options are incorrect because they do not match the result obtained from the formula for the area of a triangle.",Geometry,AO1
What is the value of the digit 6 in 875.064?,(1) 6 ones (2) 6 tens (3) 6 tenths (4) 6 hundredths,"The best answer is (4) 6 hundredths.

Explanation: In the number 875.064, the digit 6 is in the hundredths place, which is two places to the right of the decimal point. This means that the value of the digit 6 in this number is 6 hundredths, not 6 ones, 6 tens, or 6 tenths. The other options are incorrect because they refer to different positions in the number.",Numbers,AO1
What is the circumference of a circle with radius 14 cm?,(1) 44cm (2) 88cm (3) 154m (4) 616 cm,"The best answer is (2) 88cm.

Explanation: 

The formula for the circumference of a circle is 2πr, where r is the radius of the circle. If we substitute 14 cm for r, we get 2π(14 cm) = 28π cm. Since π is approximately 3.14, this equals approximately 88 cm.

The other options are incorrect because they do not match the result of the calculation. Option (1) 44cm is half of the correct answer. Option (3) 154m is not only much larger than the correct answer, but it's also in the wrong units (meters instead of centimeters). Option (4) 616 cm is much larger than the correct answer.",Geometry,AO1
Express 28 : 42 in its simplest form.,() 2:3 (2) 4:6 (3) 4:7 (4) 14:21,"The best answer is (1) 2:3.

Explanation:

To simplify the ratio 28:42, we need to find the greatest common divisor (GCD) of 28 and 42, which is 14. When we divide both numbers by their GCD, we get 2:3. 

The other options are incorrect because they are not the simplest form of the ratio 28:42. For example, 4:6 can be further simplified to 2:3, 4:7 is not equivalent to 28:42, and 14:21 can be further simplified to 2:3.",Ratio & Percentage,AO1
Find the value of 72 hundreds and 16 ones.,(1) (7216 (2) 880 (3) 736 (4) 88,"The best answer is (2) 880.

Explanation: 

72 hundreds means 72*100 = 7200. 16 ones means 16*1 = 16. If you add these two values together, you get 7200 + 16 = 7216. However, the question asks for the value of 72 hundreds and 16 ones, not their sum. 

A hundred is a unit that represents 100, and one is a unit that represents 1. So, 72 hundreds is 72*100 = 7200, and 16 ones is 16*1 = 16. 

The value of 72 hundreds and 16 ones is therefore 7200 + 16 = 7216. 

So, the correct answer is (1) 7216, not (2) 880, (3) 736, or (4) 88. These other options do not correctly represent the value of 72 hundreds and 16 ones.",Numbers,AO1
Round off 3498 to the nearest ten.,(1) 3000 (2) 3490 (3) 3500 (4) 3508,"The best answer is (3) 3500.

Explanation: When rounding to the nearest ten, we look at the digit in the ones place. If this digit is 5 or more, we round up. If it's less than 5, we round down. In this case, the digit in the ones place is 8, which is more than 5. Therefore, we round up from 3490 to 3500. The other options are incorrect because they do not follow this rule of rounding.",Numbers,AO1
Anthony paid $8 for a box of 40 candies.  What was the cost of each candy?,() 5 cents (2) 20 cents (3) 32 cents (4) 50 cents (,"The best answer is (2) 20 cents.

Explanation: 

To find the cost of each candy, we need to divide the total cost of the box by the number of candies. In this case, we divide $8 by 40. 

$8 is the same as 800 cents (since 1 dollar is 100 cents). So, 800 cents divided by 40 candies equals 20 cents per candy. 

The other options are incorrect because they do not result from dividing the total cost (800 cents) by the number of candies (40).",Rate & Speed,AO1
Express 1.03 as a percentage.,(1) 1.03% (2) 10.3% (3) 103% (4) 1030%,"The best answer is (3) 103%.

Explanation: To convert a decimal to a percentage, you multiply by 100. So, 1.03 * 100 = 103%. The other options are incorrect because they do not correctly represent the decimal 1.03 as a percentage.",Ratio & Percentage,AO1
"In 4 683 170, the digit _______ is in the hundred thousands place.",(1) 1 (2) 3 (3) 6 (4) 8,"The best answer is (3) 6.

Explanation: 

In the number 4 683 170, the places are as follows from right to left: ones, tens, hundreds, thousands, ten thousands, hundred thousands, millions. So, the digit in the hundred thousands place is 6. 

The other options are incorrect because 1 is in the ten thousands place, 3 is in the millions place, and 8 is in the thousands place.",Numbers,AO1
What does the digit 5 in 534 987 stand for?,(1) 500 (2) 5000 (3) 50000 (4) 500 000,"The digit 5 in 534 987 stands for 500 000. 

Explanation: 
In the number 534 987, each digit has a place value. Starting from the right, the first digit is in the ones place, the second is in the tens place, the third is in the hundreds place, the fourth is in the thousands place, the fifth is in the ten thousands place, and the sixth is in the hundred thousands place. Therefore, the digit 5 is in the hundred thousands place, meaning it represents 500 000. The other options (500, 5000, 50000) are incorrect because they do not correspond to the correct place value of the digit 5 in this number.",Numbers,AO1
What is the value of the digit 5 in 456 102?,(1) 50 (2) 500 (3) 5 000 4) 50 000,"The best answer is (4) 50 000. 

Explanation: 

In the number 456 102, the digit 5 is in the ten thousands place. This means that the value of the digit 5 in this number is 5 * 10,000 = 50,000. The other options are incorrect because they do not correctly represent the value of the digit 5 in the ten thousands place.",Numbers,AO1
2 dozen eggs cost $7.20.  What is the cost of 30 such eggs?,(1) $8 (2) $9 (3) $10.80 (4) $18,"The best answer is (1) $9.

Explanation: 

First, we need to know how many eggs are in a dozen. A dozen is 12, so 2 dozen eggs are 24 eggs. If 24 eggs cost $7.20, then the cost of one egg is $7.20/24 = $0.30. 

To find the cost of 30 eggs, we multiply the cost of one egg by 30. So, $0.30 * 30 = $9. 

Therefore, 30 such eggs cost $9. 

The other options are incorrect because they do not match the calculated cost of 30 eggs based on the given cost of 2 dozen eggs.",Rate & Speed,AO2
1608 497 = 1000 000 + ______ + 8 000 + 400 + 90 + 7,(1) 600 (2) 6 000 (3) 60 000 (4) 600 000,"The best answer is (4) 600 000.

Explanation: 

The given equation is a breakdown of the number 1608 497 into its place values. The place values are 1 000 000, 600 000, 8 000, 400, 90, and 7. 

If you add these up, you get 1 000 000 + 600 000 + 8 000 + 400 + 90 + 7 = 1608 497. 

So, the missing number is 600 000. 

The other options (1) 600, (2) 6 000, and (3) 60 000 are incorrect because they do not give the correct total when added to the other place values.",Numbers,AO1
What is the value of 3 260 x 100?,(1) 3 260 (2) 32 600 (3) 326 000 (4) 3 260 000,"The correct answer is (3) 326 000. 

When you multiply a number by 100, you essentially move the decimal point two places to the right. In this case, 3 260 becomes 326 000. 

The other options are incorrect because they do not reflect the correct movement of the decimal point. Options (1) and (2) are too small, while option (4) is too large.",Numbers,AO1
